created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Dec 05 07:02:59 +0000 2023,1731932161635480000,Prabowo dan Wiranto terlihat bergantian mendekati peti jenazah Doni Monardo. Mereka tampak memberikan doa dan penghormatan kepada jenazah Doni. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61485E+18,1.73193E+18,akuteguh5,https://twitter.com/akuteguh5/status/1731932161635484116
Tue Dec 05 07:02:59 +0000 2023,1731932160926310000,"Dan saya sudah buktikan berkali-kali (saat kalah pemilu), lanjut dia, disambut tawa dan tepuk tangan para kiai yang hadir di acara tersebut. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,0,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932160926314829
Tue Dec 05 07:02:59 +0000 2023,1731932158674010000,"selain Prabowo, tampak juga Panglima TNI Jenderal Agus Subiyanto, Ketua Wantimpres yang juga mantan Panglima ABRI Wiranto, hingga mantan Kepala BIN Hendropriyono. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61485E+18,1.73193E+18,akuteguh5,https://twitter.com/akuteguh5/status/1731932158674018764
Tue Dec 05 07:02:58 +0000 2023,1731932156933310000,"Kalau rakyat tidak memberi mandat, ya tidak ada masalah. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932156933313005
Tue Dec 05 07:02:58 +0000 2023,1731932155696050000,"Pantauan detikcom di lokasi, Senin (4/12/2023), #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61485E+18,1.73193E+18,akuteguh5,https://twitter.com/akuteguh5/status/1731932155696058878
Tue Dec 05 07:02:57 +0000 2023,1731932152915160000,"Jika diberi amanah oleh rakyat, Prabowo berjanji siap bekerja untuk rakyat, bangsa, dan negara. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932152915165322
Tue Dec 05 07:02:57 +0000 2023,1731932152575720000,Prabowo tampak memberikan penghormatan kepada jenazah Doni. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61485E+18,1.73193E+18,akuteguh5,https://twitter.com/akuteguh5/status/1731932152575725623
Tue Dec 05 07:02:56 +0000 2023,1731932149551700000,"Jakarta - Menteri Pertahanan (Menhan) Prabowo Subianto tiba di tempat persemayaman jenazah mantan Kepala BNPB Letjen TNI (Purn) Doni Monardo di Mako Kopassus Cijantung, Jakarta Timur. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61485E+18,1.73193E+18,akuteguh5,https://twitter.com/akuteguh5/status/1731932149551706602
Tue Dec 05 07:02:56 +0000 2023,1731932148746080000,Prabowo pun mengakui meminta mandat dari rakyat agar bisa menjadi pemimpin negara. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932148746080751
Tue Dec 05 07:02:56 +0000 2023,1731932146758250000,Prabowo hingga Panglima TNI Hadiri Persemayaman Doni Monardo di Mako Kopassus #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto https://t.co/dDbSkii8wz,0,1,0,0,in,1.61485E+18,1.73193E+18,akuteguh5,https://twitter.com/akuteguh5/status/1731932146758258885
Tue Dec 05 07:02:55 +0000 2023,1731932144950440000,@SimanjuntakElly @xquitavee @tribunnews 🤣syarat dkung prabowo 🤣 untung aku pinter,0,0,0,0,in,1.70583E+18,1.73094E+18,GFahiza8917,https://twitter.com/GFahiza8917/status/1731932144950448135
Tue Dec 05 07:02:53 +0000 2023,1731932136779690000,"saya ingin untuk diberi kesempatan memimpin bangsa ini. Karena saya merasa bahwa saya paham, ujar Prabowo. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932136779694461
Tue Dec 05 07:02:52 +0000 2023,1731932132862310000,"Saya maju, saya menawarkan diri untuk berbakti kepada negara, saya ingin diberi mandat,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932132862312782
Tue Dec 05 07:02:51 +0000 2023,1731932128865130000,yakni kekayaan alam Tanah Air tidak dikelola oleh bangsa sendiri. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932128865132795
Tue Dec 05 07:02:51 +0000 2023,1731932128819250000,"AHY sebut Food Estate di Kalimantan yg telah membabat jutaan hutan telah gagal. Padahal Kalimantan adalah paru-paru dunia.  Bahkan, PDIP via Hasto, sebut Food Estate sebagai kejahatan lingkungan.  Jangan lupa, Prabowo dimandati mengurus Food Estate ini.  https://t.co/07BwEKJVFK",0,0,1,1,in,1965334135,1.73193E+18,yadhijashar,https://twitter.com/yadhijashar/status/1731932128819257768
Tue Dec 05 07:02:50 +0000 2023,1731932124821730000,"Menurut Prabowo, masih ada persoalan sama yang dialami bangsa Indonesia sejak dulu,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932124821733386
Tue Dec 05 07:02:50 +0000 2023,1731932123635070000,@Mc_Gobed @BANGSAygSUJUD @are_inismyname @gibran_tweet @P4P4B0W0_2024 @99propaganda @bengkeldodo @florieliciouss @Bank_Joee_ @prabowo @cuitcuap_ @Ndons_Back Gpp. Malah bagus. Ngurangi,0,0,0,1,in,1.60358E+18,1.73167E+18,Kimberley_2024,https://twitter.com/Kimberley_2024/status/1731932123635077541
Tue Dec 05 07:02:50 +0000 2023,1731932123484060000,"Strategi kampanye menghujat keluarga Jokowi adalah Blunder besar, faktanya elektabilitas Prabowo makin Meroket Dan hari ini strategi team 3 kayak nya mau dirubah, tapi telat 🤣😂 https://t.co/zYXYY5CcqQ",0,0,0,0,in,1.36419E+18,1.73193E+18,PraEquilibrium,https://twitter.com/PraEquilibrium/status/1731932123484062123
Tue Dec 05 07:02:50 +0000 2023,1731932120807840000,Prabowo pun menjelaskan alasannya kembali maju dalam kontestasi Pemilihan Umum (Pemilu) 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932120807846269
Tue Dec 05 07:02:49 +0000 2023,1731932116630240000,"Alasan kembali maju pilpres Dalam kesempatan tersebut,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932116630241698
Tue Dec 05 07:02:48 +0000 2023,1731932112431860000,"Tapi kita harus kuat, itu perjuangan yang harus kita lakukan, tutur dia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932112431862107
Tue Dec 05 07:02:47 +0000 2023,1731932108510400000,"Kita hormat sama Anda, hormat sama Amerika, hormat sama China, hormat sama semua.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932108510404830
Tue Dec 05 07:02:46 +0000 2023,1731932104710110000,"Selain itu, Prabowo menuturkan, Indonesia harus menjadi bangsa kuat yang tetap menghormati negara-negara lain. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932104710111327
Tue Dec 05 07:02:45 +0000 2023,1731932100801300000,Salah satunya dengan menghilangkan kemiskinan di Indonesia.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932100801302966
Tue Dec 05 07:02:44 +0000 2023,1731932096191770000,"Karena itu, dia dan calon wakil presiden (cawapres) Gibran Rakabuming Raka akan membuat terobosan. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932096191771036
Tue Dec 05 07:02:43 +0000 2023,1731932094916630000,"@are_inismyname @gibran_tweet @prabowo @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Ndons_Back @AndreasSolusi @Alie_Fahnoor @adri_7i @tonybulumanu @Kimberley_2024 @florieliciouss minta maaf sambil jalan seperti itu, ke bocil minta maaf sambil lari2..",0,0,0,0,in,9.96855E+17,1.73185E+18,Peneliti_utama,https://twitter.com/Peneliti_utama/status/1731932094916633026
Tue Dec 05 07:02:43 +0000 2023,1731932092307510000,"Prabowo menegaskan, dia hanya ingin melihat bangsa Indonesia terhormat.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,1,0,0,in,1.61461E+18,1.73193E+18,harrispradana_,https://twitter.com/harrispradana_/status/1731932092307517779
Tue Dec 05 07:02:42 +0000 2023,1731932090873020000,"dan daya saing negara serta menciptakan lapangan kerja, teknologi, dan memberikan nilai tambah bagi produk domestik #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",0,0,0,0,in,3306055003,1.73193E+18,itstuti100,https://twitter.com/itstuti100/status/1731932090873024718
